ntw	ntwType	slice	measure	measure_short	orig	maxe	anan	bara	dreh	hala	cimi	musm
"US02"	"CDS"	"us02_19092014.xlsx"	"LiqSF_corr"	"LiqSF_corr"								
"US02"	"CDS"	"us02_12092014.xlsx"	"# of links"	"links"	4330	413851	1315	413851	413851	664	4318	6479
"US02"	"CDS"	"us02_12092014.xlsx"	"Density"	"density"	.44493219	42.52555	.13512375	42.52555	42.52555	.06822979	.44369912	.6657542
"US02"	"CDS"	"us02_12092014.xlsx"	"Avg Degree"	"deg_ave"	4.3870314	419.30192	1.3323202	419.30192	419.30192	.67274569	4.3748734	6.5643364
"US02"	"CDS"	"us02_12092014.xlsx"	"Med Degree"	"deg_med"	2	520	1	520	520	0	1	2
"US02"	"CDS"	"us02_12092014.xlsx"	"Assortativity"	"assort"	-.81036308	-.40626876	-.43400586	-.40626876	-.40626876	-.01430972	-.49942595	-.47068126
"US02"	"CDS"	"us02_12092014.xlsx"	"Clustering"	"clust"	17.630088	33.766524	.15409062	33.766524	33.766524	0	15.809127	5.8165114
"US02"	"CDS"	"us02_12092014.xlsx"	"Lender Dep"	"dep_lend"	72.002687	13.653208	98.211303	15.918168	20.33772	91.270496	46.239838	58.395285
"US02"	"CDS"	"us02_12092014.xlsx"	"Borrower Dep"	"dep_borr"	74.271724	13.647656	97.240503	13.291147	16.480723	92.709158	45.830598	61.295208
"US02"	"CDS"	"us02_12092014.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.51963226	.05572239	.78532868	.05792436	.07490535	.39826817	.22061208	.33202021
"US02"	"CDS"	"us02_12092014.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.50047772	.06909842	1	.07078471	.08690333	0	.07176033	.20044451
"US02"	"CDS"	"us02_12092014.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.3581476	.02518539	.50657425	.02405345	.03388591	.39748013	.1316254	.35029342
"US02"	"CDS"	"us02_12092014.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.18820862	.04764594	.62213295	.04349686	.04385988	0	0	.22492865
"US02"	"CDS"	"us02_12092014.xlsx"	"Core Size (% banks)"	"core"	1.621074	34.85309	1.3171226	34.85309	34.85309	.40526849	2.4822695	3.343465
"US02"	"CDS"	"us02_12092014.xlsx"	"Error score(% links)"	"error"	4.2263279	19.288826	39.163498	19.288826	19.288826	97.439759	25.712968	29.330962
"US02"	"CDS"	"us02_12092014.xlsx"	"Hamming"	"hamming"	0	409521	5091	409521	409521	4976	6218	8820
"US02"	"CDS"	"us02_12092014.xlsx"	"Jaccard"	"jaccard"	0	.9895373	.94839791	.9895373	.9895373	.99819458	.83729005	.89854165
"US02"	"CDS"	"us02_12092014.xlsx"	"Cosine"	"cosine"	0	.31275362	.78465694	.32285345	.38949996	.99415696	.30687075	.53201427
"US02"	"CDS"	"us02_12092014.xlsx"	"Jensen"	"jensen"	0	.56101712	.42370201	.56769874	.75569899	.38256397	.37794658	.32003059
"US02"	"CDS"	"us02_12092014.xlsx"	"True Positives"	"truepos"	100	100	6.3972286	100	100	.20785219	28.013857	22.967667
"US02"	"CDS"	"us02_12092014.xlsx"	"True Negatives"	"trueneg"	100	57.731315	99.892863	57.731315	57.731315	99.932394	99.679621	99.434795
"US02"	"CDS"	"us02_12092014.xlsx"	"False Positives"	"falsepos"	0	42.268685	.10713711	42.268685	42.268685	.06760578	.32037917	.56520501
"US02"	"CDS"	"us02_12092014.xlsx"	"False Negatives"	"falseneg"	0	0	93.602771	0	0	99.792148	71.986143	77.032333
"US02"	"CDS"	"us02_12092014.xlsx"	"Accuracy"	"accuracy"	100	57.919382	99.476871	57.919382	57.919382	99.488688	99.361065	99.093695
"US02"	"CDS"	"us02_12092014.xlsx"	"DebtRank_top1"	"DebtRank_top1"	1	0	0	0	.02	0	0	.06
"US02"	"CDS"	"us02_12092014.xlsx"	"DebtRank_top3"	"DebtRank_top3"	1	0	0	0	.26	0	.12	.32
"US02"	"CDS"	"us02_12092014.xlsx"	"DebtRank_corr"	"DebtRank_corr"	1	.76313738	.08014283	.76261638	.76299814	-.14466031	.57444437	.32765333
"US02"	"CDS"	"us02_12092014.xlsx"	"LiqSF_top1"	"LiqSF_top1"	1	1	1	1	1	1	1	1
"US02"	"CDS"	"us02_12092014.xlsx"	"LiqSF_top3"	"LiqSF_top3"	1	1	1	1	1	1	1	1
"US02"	"CDS"	"us02_12092014.xlsx"	"LiqSF_corr"	"LiqSF_corr"								
"US02"	"CDS"	"us02_05092014.xlsx"	"# of links"	"links"	4335	415440	1317	415440	415440	693	4333.5	6479
"US02"	"CDS"	"us02_05092014.xlsx"	"Density"	"density"	.44364528	42.516262	.1347822	42.516262	42.516262	.07092184	.44349177	.66306292
"US02"	"CDS"	"us02_05092014.xlsx"	"Avg Degree"	"deg_ave"	4.3832154	420.06067	1.3316481	420.06067	420.06067	.70070779	4.3816987	6.5510617
"US02"	"CDS"	"us02_05092014.xlsx"	"Med Degree"	"deg_med"	2	522	1	522	522	0	1	2
"US02"	"CDS"	"us02_05092014.xlsx"	"Assortativity"	"assort"	-.8103175	-.40380362	-.42624796	-.40380362	-.40380362	-.07787918	-.4922354	-.46592468
"US02"	"CDS"	"us02_05092014.xlsx"	"Clustering"	"clust"	17.717936	33.627419	.09366597	33.627419	33.627419	.01685204	15.638165	5.8381018
"US02"	"CDS"	"us02_05092014.xlsx"	"Lender Dep"	"dep_lend"	71.987476	14.015967	98.076735	15.905584	20.406248	91.402157	46.128193	58.415998
"US02"	"CDS"	"us02_05092014.xlsx"	"Borrower Dep"	"dep_borr"	74.693678	14.009188	96.876891	13.665079	16.713984	92.268828	45.761033	61.631571
"US02"	"CDS"	"us02_05092014.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.51796141	.05590423	.78124973	.05789829	.07455371	.41116816	.2148118	.33365917
"US02"	"CDS"	"us02_05092014.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.50164455	.06946528	1	.07098526	.08693716	0	.06956324	.19830586
"US02"	"CDS"	"us02_05092014.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.36085008	.02540112	.50618759	.02432005	.03457591	.40298698	.13109822	.35457574
"US02"	"CDS"	"us02_05092014.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.18820862	.04796794	.67701674	.04402588	.04324852	0	0	.22678163
"US02"	"CDS"	"us02_05092014.xlsx"	"Core Size (% banks)"	"core"	1.6177958	34.883721	1.3144591	34.883721	34.883721	.40444894	2.5278059	3.437816
"US02"	"CDS"	"us02_05092014.xlsx"	"Error score(% links)"	"error"	4.2214533	19.280763	42.36902	19.280763	19.280763	97.546898	25.971271	29.427176
"US02"	"CDS"	"us02_05092014.xlsx"	"Hamming"	"hamming"	0	411105	5144	411105	411105	5012	6227.5	8873.5
"US02"	"CDS"	"us02_05092014.xlsx"	"Jaccard"	"jaccard"	0	.98956528	.95294554	.98956528	.98956528	.99840637	.83611593	.90024267
"US02"	"CDS"	"us02_05092014.xlsx"	"Cosine"	"cosine"	0	.31602897	.71181523	.32589798	.39038	.99304261	.31006641	.60421194
"US02"	"CDS"	"us02_05092014.xlsx"	"Jensen"	"jensen"	0	.57216814	.4578188	.57873038	.75862005	.32595828	.39043506	.32285137
"US02"	"CDS"	"us02_05092014.xlsx"	"True Positives"	"truepos"	100	100	5.8592849	100	100	.18454441	28.189158	22.698962
"US02"	"CDS"	"us02_05092014.xlsx"	"True Negatives"	"trueneg"	100	57.739898	99.890727	57.739898	57.739898	99.929584	99.679789	99.433489
"US02"	"CDS"	"us02_05092014.xlsx"	"False Positives"	"falsepos"	0	42.260102	.10927254	42.260102	42.260102	.07041551	.32021069	.56651079
"US02"	"CDS"	"us02_05092014.xlsx"	"False Negatives"	"falseneg"	0	0	94.140715	0	0	99.815456	71.810842	77.301038
"US02"	"CDS"	"us02_05092014.xlsx"	"Accuracy"	"accuracy"	100	57.927383	99.473561	57.927383	57.927383	99.48707	99.362676	99.091883
"US02"	"CDS"	"us02_05092014.xlsx"	"DebtRank_top1"	"DebtRank_top1"	1	0	0	0	0	0	0	0
"US02"	"CDS"	"us02_05092014.xlsx"	"DebtRank_top3"	"DebtRank_top3"	1	0	0	0	0	0	0	0
"US02"	"CDS"	"us02_05092014.xlsx"	"DebtRank_corr"	"DebtRank_corr"	1	.75642416	.11630466	.75591076	.75620911	-.06444236	.58675106	.32390502
"US02"	"CDS"	"us02_05092014.xlsx"	"LiqSF_top1"	"LiqSF_top1"	1	1	1	1	1	1	1	1
"US02"	"CDS"	"us02_05092014.xlsx"	"LiqSF_top3"	"LiqSF_top3"	1	1	1	1	1	1	1	1
"US02"	"CDS"	"us02_05092014.xlsx"	"LiqSF_corr"	"LiqSF_corr"								
"US01"	"PAY"	"us02_2.xlsx"	"# of links"	"links"	169027	29627198	10968	29627198	29627198	157		
"US01"	"PAY"	"us02_2.xlsx"	"Density"	"density"	.5124818	89.843896	.03326024	89.843896	89.843896	.0004761		
"US01"	"PAY"	"us02_2.xlsx"	"Avg Degree"	"deg_ave"	29.43183	5158.8365	1.9098032	5158.8365	5158.8365	.02733763		
"US01"	"PAY"	"us02_2.xlsx"	"Med Degree"	"deg_med"	10	5608	1	5608	5608	0		
"US01"	"PAY"	"us02_2.xlsx"	"Assortativity"	"assort"	-.27334853	-.07827152	-.35084142	-.07827152	-.07827152	-.05369128		
"US01"	"PAY"	"us02_2.xlsx"	"Clustering"	"clust"	14.708264	23.966069	.01374539	23.966069	23.966069	0		
"US01"	"PAY"	"us02_2.xlsx"	"Lender Dep"	"dep_lend"	60.758385	18.280381	99.642329	17.628363	22.290311	99.852307		
"US01"	"PAY"	"us02_2.xlsx"	"Borrower Dep"	"dep_borr"	61.4136	18.885389	99.682898	18.481878	23.529941	99.700039		
"US01"	"PAY"	"us02_2.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.4566212	.06813781	.91523754	.06518527	.0846761	.0269266		
"US01"	"PAY"	"us02_2.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.38158433	.07405875	1	.07098562	.08938276	0		
"US01"	"PAY"	"us02_2.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.48841158	.07392208	.97215076	.07130232	.09453451	.02672406		
"US01"	"PAY"	"us02_2.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.4246856	.07567638	1	.07363049	.09334955	0		
"US01"	"PAY"	"us02_2.xlsx"	"Core Size (% banks)"	"core"	2.5596378	89.656974	.52237507	89.656974	89.656974	.0174125		
"US01"	"PAY"	"us02_2.xlsx"	"Error score(% links)"	"error"	27.391482	.20805207	25.820569	.20805207	.20805207	98.726115		
"US01"	"PAY"	"us02_2.xlsx"	"Hamming"	"hamming"	0	29459053	173213	29459053	29459053	169184		
"US01"	"PAY"	"us02_2.xlsx"	"Jaccard"	"jaccard"	0	.99430984	.98079885	.99430984	.99430984	1		
"US01"	"PAY"	"us02_2.xlsx"	"Cosine"	"cosine"	0	.20899755	.49506948	.20781684	.27879753	1		
"US01"	"PAY"	"us02_2.xlsx"	"Jensen"	"jensen"	0	.91302174	1.5234593	.90638653	1.0905074	0		
"US01"	"PAY"	"us02_2.xlsx"	"True Positives"	"truepos"	100	99.739095	2.0061884	99.739095	99.739095	0		
"US01"	"PAY"	"us02_2.xlsx"	"True Negatives"	"trueneg"	100	10.207085	99.976905	10.207085	10.207085	99.999521		
"US01"	"PAY"	"us02_2.xlsx"	"False Positives"	"falsepos"	0	89.792915	.02309548	89.792915	89.792915	.00047855		
"US01"	"PAY"	"us02_2.xlsx"	"False Negatives"	"falseneg"	0	.26090506	97.993812	.26090506	.26090506	100		
"US01"	"PAY"	"us02_2.xlsx"	"Accuracy"	"accuracy"	100	10.666001	99.474735	10.666001	10.666001	99.486953		
"US01"	"PAY"	"us02_2.xlsx"	"DebtRank_top1"	"DebtRank_top1"	1	1	1	1	1	0		
"US01"	"PAY"	"us02_2.xlsx"	"DebtRank_top3"	"DebtRank_top3"	1	1	1	1	1	0		
"US01"	"PAY"	"us02_2.xlsx"	"DebtRank_corr"	"DebtRank_corr"	1	.97033738	.86537983	.97077946	.94848714	-.00081815		
"US01"	"PAY"	"us02_2.xlsx"	"LiqSF_top1"	"LiqSF_top1"								
"US01"	"PAY"	"us02_2.xlsx"	"LiqSF_top3"	"LiqSF_top3"								
"US01"	"PAY"	"us02_2.xlsx"	"LiqSF_corr"	"LiqSF_corr"								
"US01"	"PAY"	"us01_1.xlsx"	"# of links"	"links"	192808	29227809	10884	29227809	29227809	172		
"US01"	"PAY"	"us01_1.xlsx"	"Density"	"density"	.58888344	89.28458	.03324825	89.28458	89.28458	.00052542		
"US01"	"PAY"	"us01_1.xlsx"	"Avg Degree"	"deg_ave"	33.695911	5107.9708	1.9021321	5107.9708	5107.9708	.03005942		
"US01"	"PAY"	"us01_1.xlsx"	"Med Degree"	"deg_med"	11	5611	1	5611	5611	0		
"US01"	"PAY"	"us01_1.xlsx"	"Assortativity"	"assort"	-.27546488	-.08873817	-.36154122	-.08873817	-.08873817	-.0408472		
"US01"	"PAY"	"us01_1.xlsx"	"Clustering"	"clust"	13.853765	23.522056	.0266439	23.522056	23.522056	0		
"US01"	"PAY"	"us01_1.xlsx"	"Lender Dep"	"dep_lend"	58.453633	17.04878	99.655875	16.705462	25.076113	99.72029		
"US01"	"PAY"	"us01_1.xlsx"	"Borrower Dep"	"dep_borr"	58.41896	17.54795	99.74333	17.311149	23.992179	99.137059		
"US01"	"PAY"	"us01_1.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.42710536	.0691148	.90588465	.06661866	.09757564	.02961688		
"US01"	"PAY"	"us01_1.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.35112112	.07590856	1	.07358442	.09884269	0		
"US01"	"PAY"	"us01_1.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.45660317	.07852126	.97705485	.07662977	.10174144	.02905081		
"US01"	"PAY"	"us01_1.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.38557401	.08004761	1	.07860046	.10293306	0		
"US01"	"PAY"	"us01_1.xlsx"	"Core Size (% banks)"	"core"	2.8311779	89.112199	.5068158	89.112199	89.112199	.01747641		
"US01"	"PAY"	"us01_1.xlsx"	"Error score(% links)"	"error"	27.556948	.19306955	23.502389	.19306955	.19306955	98.255814		
"US01"	"PAY"	"us01_1.xlsx"	"Hamming"	"hamming"	0	29035981	196674	29035981	29035981	192976		
"US01"	"PAY"	"us01_1.xlsx"	"Jaccard"	"jaccard"	0	.99342014	.98247104	.99342014	.99342014	.99998964		
"US01"	"PAY"	"us01_1.xlsx"	"Cosine"	"cosine"	0	.24780472	.56469578	.24786503	.32781655	.99999992		
"US01"	"PAY"	"us01_1.xlsx"	"Jensen"	"jensen"	0	.83483628	1.4781703	.83496847	1.0378999	.12173398		
"US01"	"PAY"	"us01_1.xlsx"	"True Positives"	"truepos"	100	99.745861	1.8199452	99.745861	99.745861	.0010373		
"US01"	"PAY"	"us01_1.xlsx"	"True Negatives"	"trueneg"	100	10.777401	99.977337	10.777401	10.777401	99.999478		
"US01"	"PAY"	"us01_1.xlsx"	"False Positives"	"falsepos"	0	89.222599	.0226625	89.222599	89.222599	.00052239		
"US01"	"PAY"	"us01_1.xlsx"	"False Negatives"	"falseneg"	0	.25413883	98.180055	.25413883	.25413883	99.998963		
"US01"	"PAY"	"us01_1.xlsx"	"Accuracy"	"accuracy"	100	11.301413	99.399204	11.301413	11.301413	99.4105		
"US01"	"PAY"	"us01_1.xlsx"	"DebtRank_top1"	"DebtRank_top1"	1	1	1	1	1	0		
"US01"	"PAY"	"us01_1.xlsx"	"DebtRank_top3"	"DebtRank_top3"	1	1	1	1	1	0		
"US01"	"PAY"	"us01_1.xlsx"	"DebtRank_corr"	"DebtRank_corr"	1	.94850905	.86985284	.9484967	.9284663	-.00111287		
"US01"	"PAY"	"us01_1.xlsx"	"LiqSF_top1"	"LiqSF_top1"								
"US01"	"PAY"	"us01_1.xlsx"	"LiqSF_top3"	"LiqSF_top3"								
"US01"	"PAY"	"us01_1.xlsx"	"LiqSF_corr"	"LiqSF_corr"								
"UK01"	"CDS"	"uk01_201009.xlsx"	"# of links"	"links"	1860	59596	490	59596	59596	1012	1855	1511.5
"UK01"	"CDS"	"uk01_201009.xlsx"	"Density"	"density"	1.5672396	50.215706	.41287496	50.215706	50.215706	.85271318	1.5630266	1.2735929
"UK01"	"CDS"	"uk01_201009.xlsx"	"Avg Degree"	"deg_ave"	5.3913043	172.74203	1.4202899	172.74203	172.74203	2.9333333	5.3768116	4.3811594
"UK01"	"CDS"	"uk01_201009.xlsx"	"Med Degree"	"deg_med"	1	267	1	267	267	3	0	1
"UK01"	"CDS"	"uk01_201009.xlsx"	"Assortativity"	"assort"	-.71650523	-.24723922	-.60177671	-.24723922	-.24723922	-.10125602	-.64333802	-.63994822
"UK01"	"CDS"	"uk01_201009.xlsx"	"Clustering"	"clust"	7.6822297	19.05834	.0058823	19.05834	19.05834	.50879137	8.2096416	6.23145
"UK01"	"CDS"	"uk01_201009.xlsx"	"Lender Dep"	"dep_lend"	64.359231	11.705267	97.140455	11.517599	17.277319	66.04343	44.521581	55.668744
"UK01"	"CDS"	"uk01_201009.xlsx"	"Borrower Dep"	"dep_borr"	66.476947	11.249432	97.92294	11.094594	16.658871	82.171173	43.4094	58.871353
"UK01"	"CDS"	"uk01_201009.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.37383859	.04318437	.62135497	.04218814	.05828714	.34845347	.18911912	.310577
"UK01"	"CDS"	"uk01_201009.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.2231405	.0665059	1	.06394918	.08057993	.36125079	0	.15370289
"UK01"	"CDS"	"uk01_201009.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.47056195	.05051033	.75542065	.04962085	.06829892	.58976415	.2291083	.32493058
"UK01"	"CDS"	"uk01_201009.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.375	.06477353	1	.06316253	.08235999	.60992778	.06859224	.18204653
"UK01"	"CDS"	"uk01_201009.xlsx"	"Core Size (% banks)"	"core"	4.9275362	48.695652	3.4782609	48.695652	48.695652	2.6086957	6.0869565	5.5072464
"UK01"	"CDS"	"uk01_201009.xlsx"	"Error score(% links)"	"error"	1.1290323	9.2288073	40.612245	9.2288073	9.2288073	88.735178	4.9690042	19.292973
"UK01"	"CDS"	"uk01_201009.xlsx"	"Hamming"	"hamming"	0	57736	2058	57736	57736	2738	1953	2273
"UK01"	"CDS"	"uk01_201009.xlsx"	"Jaccard"	"jaccard"	0	.96878985	.93375681	.96878985	.96878985	.97611408	.68901479	.80455927
"UK01"	"CDS"	"uk01_201009.xlsx"	"Cosine"	"cosine"	0	.08718697	.60555293	.08729002	.20123543	.87806528	.08828227	.39013645
"UK01"	"CDS"	"uk01_201009.xlsx"	"Jensen"	"jensen"	0	.13855321	.86842448	.13882689	.35966421	1.4140056	.11313182	.26155005
"UK01"	"CDS"	"uk01_201009.xlsx"	"True Positives"	"truepos"	100	100	7.8494624	100	100	3.6021505	47.526882	29.623656
"UK01"	"CDS"	"uk01_201009.xlsx"	"True Negatives"	"trueneg"	100	50.576956	99.70553	50.576956	50.576956	99.191063	99.167951	99.179507
"UK01"	"CDS"	"uk01_201009.xlsx"	"False Positives"	"falsepos"	0	49.423044	.29447012	49.423044	49.423044	.80893683	.83204931	.82049307
"UK01"	"CDS"	"uk01_201009.xlsx"	"False Negatives"	"falseneg"	0	0	92.150538	0	0	96.397849	52.473118	70.376344
"UK01"	"CDS"	"uk01_201009.xlsx"	"Accuracy"	"accuracy"	100	51.351534	98.265925	51.351534	51.351534	97.692956	98.354398	98.084766
"UK01"	"CDS"	"uk01_201009.xlsx"	"DebtRank_top1"	"DebtRank_top1"	1	1	1	1	1	0	1	.36
"UK01"	"CDS"	"uk01_201009.xlsx"	"DebtRank_top3"	"DebtRank_top3"	1	1	1	1	1	0	1	.7
"UK01"	"CDS"	"uk01_201009.xlsx"	"DebtRank_corr"	"DebtRank_corr"	1	.99573328	.97966096	.99573272	.99572528	.59486024	.99594363	.9629169
"UK01"	"CDS"	"uk01_201009.xlsx"	"LiqSF_top1"	"LiqSF_top1"	1	1	1	1	1	1	1	.18
"UK01"	"CDS"	"uk01_201009.xlsx"	"LiqSF_top3"	"LiqSF_top3"	1	1	1	1	1	1	1	.7
"UK01"	"CDS"	"uk01_201009.xlsx"	"LiqSF_corr"	"LiqSF_corr"								
"UK01"	"CDS"	"uk01_201008.xlsx"	"# of links"	"links"	1856	57340	482	57340	57340	1075	1857	1503.5
"UK01"	"CDS"	"uk01_201008.xlsx"	"Density"	"density"	1.6991669	52.494736	.44127071	52.494736	52.494736	.98416186	1.7000824	1.3764534
"UK01"	"CDS"	"uk01_201008.xlsx"	"Avg Degree"	"deg_ave"	5.6072508	173.23263	1.4561934	173.23263	173.23263	3.2477341	5.6102719	4.5422961
"UK01"	"CDS"	"uk01_201008.xlsx"	"Med Degree"	"deg_med"	1	269	1	269	269	3	0	1
"UK01"	"CDS"	"uk01_201008.xlsx"	"Assortativity"	"assort"	-.71392545	-.28292633	-.59448531	-.28292633	-.28292633	-.1248644	-.64316032	-.63838584
"UK01"	"CDS"	"uk01_201008.xlsx"	"Clustering"	"clust"	7.4165124	18.254735	.02800397	18.254735	18.254735	.57301603	8.0919035	6.391806
"UK01"	"CDS"	"uk01_201008.xlsx"	"Lender Dep"	"dep_lend"	63.553294	11.773225	98.160846	11.575385	17.035262	63.366107	43.418847	55.281626
"UK01"	"CDS"	"uk01_201008.xlsx"	"Borrower Dep"	"dep_borr"	66.052855	11.353858	98.258897	11.192772	16.671198	84.369538	43.345755	58.56367
"UK01"	"CDS"	"uk01_201008.xlsx"	"Mean HHI Assets"	"hhi_ass_ave"	.36652534	.04286952	.62660535	.04182808	.0572612	.33628638	.184097	.31271081
"UK01"	"CDS"	"uk01_201008.xlsx"	"Median HHI Assets"	"hhi_ass_med"	.21078765	.06630245	1	.06367591	.07993192	.32148577	0	.15848124
"UK01"	"CDS"	"uk01_201008.xlsx"	"Mean HHI Liabilities"	"hhi_liab_ave"	.48901787	.05291236	.79511951	.05195334	.07155941	.63764014	.23935322	.32593203
"UK01"	"CDS"	"uk01_201008.xlsx"	"Median HHI Liabilities"	"hhi_liab_med"	.42693878	.0646201	1	.06305576	.08324067	.73885732	.07640654	.18664923
"UK01"	"CDS"	"uk01_201008.xlsx"	"Core Size (% banks)"	"core"	5.4380665	51.359517	3.3232628	51.359517	51.359517	2.7190332	6.3444109	5.7401813
"UK01"	"CDS"	"uk01_201008.xlsx"	"Error score(% links)"	"error"	1.0775862	7.499128	39.626556	7.499128	7.499128	89.395349	4.7918033	19.353795
"UK01"	"CDS"	"uk01_201008.xlsx"	"Hamming"	"hamming"	0	55484	2028	55484	55484	2775	1934	2250
"UK01"	"CDS"	"uk01_201008.xlsx"	"Jaccard"	"jaccard"	0	.96763167	.92899679	.96763167	.96763167	.97266036	.68362399	.8018328
"UK01"	"CDS"	"uk01_201008.xlsx"	"Cosine"	"cosine"	0	.08581732	.63642473	.08594069	.20530717	.7614542	.08670383	.39165694
"UK01"	"CDS"	"uk01_201008.xlsx"	"Jensen"	"jensen"	0	.13671866	.84387247	.13701271	.36218203	1.0260902	.1124092	.25755866
"UK01"	"CDS"	"uk01_201008.xlsx"	"True Positives"	"truepos"	100	100	8.3512931	100	100	4.2025862	47.952586	29.795259
